,,,,,,,,,,,,,,,index,trial_id,registry,registration_date,start_date,retrospective_registration,sponsor,recruitment_status,phase,study_type,countries,title,acronym,study_category,intervention,intervention_list,enrollment,primary_completion_date,full_completion_date,registy_url,results_type,results_published_date,results_url,last_updated,cross_registration
0,NCT04255940,ClinicalTrials.gov,3.02.2020,20.01.2020,TRUE,Qilu,Hospital,of,Shandong,University,Recruiting,Not,Applicable,Observational,China,2019-nCoV,Outbreak,and,Cardiovascular,Diseases,,Clinical,Presentation,No,Intervention,No,Intervention,12000,30.04.2020,30.04.2020,https://clinicaltrials.gov/show/NCT04255940,No,Results,No,Results,No,Results,17.02.2020,None
45,ChiCTR2000029763,ChiCTR,12.02.2020,13.02.2020,FALSE,China,Academy,of,Chinese,Medical,Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,ChiCTR2000029559,ChiCTR,4.02.2020,31.01.2020,TRUE,Renmin,Hospital,of,Wuhan,University,Recruiting,Phase,4,Interventional,China,Therapeutic,effect,of,hydroxychloroquine,on,novel,coronavirus,pneumonia,(COVID-19),,Drug,Hydroxychloroquine,Hydroxychloroquine,300,Not,Available,29.02.2020,http://www.chictr.org.cn/showproj.aspx?proj=48880,Pre-Print,Article,31.03.2020,https://doi.org/10.1101/2020.03.22.20040758,17.02.2020,None
83,ChiCTR2000029495,ChiCTR,2.02.2020,3.02.2020,FALSE,Xinhua,Affiliated,Hospital,,Hubei,University,of,Chinese,Medicine,,,,,,,,,,,,,,,,,,,,,,,,,
84,ChiCTR2000029493,ChiCTR,2.02.2020,3.02.2020,FALSE,Xinhua,Affiliated,Hospital,,Hubei,University,of,Chinese,Medicine,,,,,,,,,,,,,,,,,,,,,,,,,
88,ChiCTR2000029461,ChiCTR,2.02.2020,3.02.2020,FALSE,Xinhua,Affiliated,Hospital,,Hubei,University,of,Chinese,Medicine,,,,,,,,,,,,,,,,,,,,,,,,,
89,ChiCTR2000029460,ChiCTR,2.02.2020,2.02.2020,FALSE,Xinhua,Affiliated,Hospital,,Hubei,University,of,Chinese,Medicine,,,,,,,,,,,,,,,,,,,,,,,,,
90,ChiCTR2000029459,ChiCTR,2.02.2020,3.02.2020,FALSE,Xinhua,Affiliated,Hospital,,Hubei,University,of,Chinese,Medicine,,,,,,,,,,,,,,,,,,,,,,,,,
91,ChiCTR2000029439,ChiCTR,1.02.2020,2.02.2020,FALSE,Beijing,Hospital,of,Traditional,Chinese,Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,ChiCTR2000029438,ChiCTR,1.02.2020,4.02.2020,FALSE,Beijing,Hospital,of,Traditional,Chinese,Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,NCT04268537,ClinicalTrials.gov,8.02.2020,10.02.2020,FALSE,Southeast,University,,China,Not,Recruiting,Phase,2,Interventional,No,Country,Given,Immunoregulatory,Therapy,for,2019-nCoV,,Drug,PD1,vs.,thymosin,PD1,,,,,,,,,,,,
191,NCT04280588,ClinicalTrials.gov,20.02.2020,22.02.2020,FALSE,The,First,Affiliated,Hospital,of,Fujian,Medical,University,Recruiting,Phase,2,Interventional,China,Fingolimod,in,COVID-19,,Drug,Fingolimod,Fingolimod,30,1.07.2020,1.07.2020,https://clinicaltrials.gov/show/NCT04280588,No,Results,No,Results,No,Results,2.03.2020,None,,
307,NCT04296643,ClinicalTrials.gov,3.03.2020,1.04.2020,FALSE,McMaster,University,Not,Recruiting,Not,Applicable,Interventional,No,Country,Given,Medical,Masks,vs,N95,Respirators,for,COVID-19,,Other,(device),Masks,Masks,576,1.02.2021,1.04.2021,https://clinicaltrials.gov/show/NCT04296643,No,Results,No,Results,No,Results,16.03.2020,None
368,ChiCTR2000030773,ChiCTR,14.03.2020,12.02.2020,TRUE,Huashan,Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,ChiCTR2000030757,ChiCTR,13.03.2020,13.03.2020,FALSE,Shenzhen-Peking,University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,NCT04299724,ClinicalTrials.gov,5.03.2020,15.02.2020,TRUE,Shenzhen,Geno-Immune,Medical,Institute,Recruiting,Phase,1,Interventional,China,Safety,and,Immunity,of,Covid-19,aAPC,Vaccine,,ATMP,Plasma,Plasma,100,31.07.2023,31.12.2024,https://clinicaltrials.gov/show/NCT04299724,No,Results,No,Results,No,Results,23.03.2020,None,,
478,ChiCTR2000029496,ChiCTR,3.02.2020,29.01.2020,TRUE,The,First,Hospital,of,Changsha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,NCT04276896,ClinicalTrials.gov,17.02.2020,24.03.2020,FALSE,Shenzhen,Geno-Immune,Medical,Institute,Recruiting,Phase,1/Phase,2,Interventional,China,Immunity,and,Safety,of,Covid-19,Synthetic,Minigene,Vaccine,,ATMP,Vaccine,Vaccine,100,31.07.2023,31.12.2024,https://clinicaltrials.gov/show/NCT04276896,No,Results,No,Results,No,Results,30.03.2020,None
489,NCT04292964,ClinicalTrials.gov,1.03.2020,1.03.2020,FALSE,Chongqing,Medical,University,Not,Recruiting,Not,Applicable,Observational,China,Prognostic,Factors,of,Patients,With,COVID-19,,Prognosis,No,Intervention,No,Intervention,201,13.03.2020,13.03.2020,https://clinicaltrials.gov/show/NCT04292964,Journal,Article,15.04.2020,http://dx.doi.org/10.1186/s12931-020-01352-w,30.03.2020,None,,,
492,NCT04308317,ClinicalTrials.gov,4.03.2020,5.03.2020,FALSE,Henan,Provincial,People's,Hospital,Recruiting,Phase,4,Interventional,China,Tetrandrine,Tablets,Used,in,the,Treatment,of,COVID-19,TT-NPC,Drug,Tetrandrine,Tetrandrine,60,1.03.2021,1.05.2021,https://clinicaltrials.gov/show/NCT04308317,No,Results,No,Results,No,Results,30.03.2020,None,
493,NCT04312100,ClinicalTrials.gov,13.03.2020,1.02.2020,TRUE,Henan,Provincial,People's,Hospital,Recruiting,Not,Applicable,Observational,China,Sequential,Oxygen,Therapy,Strategy,for,Patients,With,COVID-19,SOTSPC,Drug,Oxygen,Oxygen,30,20.10.2020,21.02.2020,https://clinicaltrials.gov/show/NCT04312100,No,Results,No,Results,No,Results,30.03.2020,None,
494,NCT04312464,ClinicalTrials.gov,4.03.2020,1.01.2020,TRUE,Wuhan,Union,Hospital,,China,Recruiting,Not,Applicable,Observational,China,Myocardial,Damage,in,COVID-19,,Clinical,Presentation,No,Intervention,No,Intervention,500,15.03.2020,18.03.2020,https://clinicaltrials.gov/show/NCT04312464,No,Results,No,Results,No,Results,30.03.2020,None,
500,NCT04316884,ClinicalTrials.gov,13.03.2020,12.03.2020,TRUE,Uppsala,University,Recruiting,Not,Applicable,Observational,Sweden,Mechanisms,for,Organ,Dysfunction,in,Covid-19,UMODCOVID19,Clinical,Presentation,No,Intervention,No,Intervention,100,31.12.2020,31.12.2021,https://clinicaltrials.gov/show/NCT04316884,No,Results,No,Results,No,Results,30.03.2020,None,,
528,ChiCTR2000031187,ChiCTR,23.03.2020,23.03.2020,FALSE,Wuhan,Third,Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,NCT04319211,ClinicalTrials.gov,20.03.2020,25.03.2020,FALSE,Istanbul,University-Cerrahpasa,Not,Recruiting,Not,Applicable,Observational,Turkey,Effects,of,Social,Isolation,From,Coronavirus,,,,,,,,,,,,,,,,,,,,
584,NCT04321811,ClinicalTrials.gov,23.03.2020,21.03.2020,TRUE,xCures,Recruiting,Not,Applicable,Observational,United,States,Behavior,,Environment,And,Treatments,for,Covid-19,BEAT19,Clinical,Presentation,No,Intervention,No,Intervention,100000,20.03.2021,20.03.2022,https://clinicaltrials.gov/show/NCT04321811,No,Results,No,Results,No,Results,14.04.2020,None,
