,Unnamed: 0,类别,需求,预期提供数据表,预期提供内容,说明
0,0,基础信息,企业名称,表1,企业名称,"企业量约46万，限定如下：
1、截至目前的在营企业
2、企业属于【新产业新业态新商业模式业】中的互联网与现代信息技术服务、现代技术服务与创新创业服务、现代生产性服务活动、新型生活性服务活动、现代综合管理活动等5个类别
3、企业有专利"
1,1,基础信息,组织机构代码,,统一社会信用代码,"1、企业已经三证合一，组织机构代码已经统一为统一社会信用代码
2、统一社会信用代码为其他数据表主键"
2,2,基础信息,成立日期,,成立日期,YYYY-MM-DD
3,3,基础信息,注册资本,,注册资本,
4,4,基础信息,,,注册资本币种,
5,5,基础信息,企业注册地址（省、市、区、街道）,,企业注册地址,
6,6,基础信息,,,省份,
7,7,基础信息,,,城市,
8,8,基础信息,,,区县,
9,9,基础信息,,,街道,
10,10,基础信息,企业实际地址（省、市、区、街道）,,企业实际地址（省、市、区、街道）,
11,11,基础信息,所属行业,,所属行业,根据国标行业标准，此处提供行业门类
12,12,基础信息,企业四级行业代码,,企业四级行业代码,根据国标行业标准，此处提供行业小类
13,13,基础信息,是否上市（上市时间、上市交易所）,,上市时间,YYYY-MM-DD
14,14,基础信息,,,上市交易所,上海交易所、深圳交易所、北京交易所
15,15,经营范围,企业服务领域（2019-2022的经营范围变更情况）,表2,变更时间,"1、变更时间限定2019-2022年
2、经营范围变更"
16,16,经营范围,,,变更前内容,
17,17,经营范围,,,变更后内容,
18,18,人才结构,企业当年人才招聘数量,表3,招聘岗位名称,"1、提供企业每个招聘信息
2、招聘时间限定2019-2022年
3、数量建议按照招聘岗位统计，不是招聘启事上的具体人数，部分人数填的是若干"
19,19,,企业当年本科以上学历招聘数量,,招聘时间,
20,20,,,,招聘学历,
21,21,财务信息,总资产负债率=负债总额／资产总额,,,指标可以计算，指标结果无法原样提供
22,22,,产权比率=负债总额／股东权益,,,
23,23,,平均净资产=（股东权益年初数+股东权益年末数）/2,,,
24,24,,总资产增长率=本年总资产增长额/上年总资产总额（其中，本年总资产增长额=资产总额年末数-资产总额年初数）,,,
25,25,,营业收入增长率=（本年营业收入-上年营业收入）/上年营业收入,,,
26,26,,企业当年纳税总额,,,
27,27,专利/知识产权,截至当年企业申请的发明专利总数；授权专利数量,表4,专利名称,"1、提供每条专利信息
2、专利申请时间小于等于2022年
3、企业申请的发明专利包括专利已申请未授权、专利已申请已授权，其中授权专利仅指专利已申请已授权情况
4、专利类型为发明专利
5、专利IPC类别，为二级分类，例如A01
6、需要自行计算“截至当年数量”
7、是否多个申请人，仅指多个申请机构，包括企业及事业单位，不包括1家企业多个自然人情况"
28,28,,,,专利申请号,
29,29,,,,专利申请时间,
30,30,,,,专利是否授权,
31,31,,,,专利数量,
32,32,,截至当年IPC类别（二级分类，例如A01）前10类及对应的专利数量,,专利IPC类别,
33,33,,本年合作开发申请专利数（申请人包括多个机构）,,是否多个申请人,
34,34,,截至当年企业软件著作累计数量,表5,软件著作权申请时间,"1、提供企业软件著作权信息
2、申请时间小于等于2022年
3、需要自行计算“截至当年数量”"
35,35,,,,软件著作权名称,
36,36,,截至当年参与制定新标准数（国标；行业；团体；企业）,表6,标准名称,"1、提供企业参与标准制定信息
2、制定时间，不是标准实施时间
3、国家标准、行业标准、团体标准，无企业标准
4、需要自行计算“截至当年数量”"
37,37,,,,标准制定时间,
38,38,,,,标准类别,
39,39,,,,数量,
40,40,信息化建设,企业APP、网站、公众号建立情况（具体建设数量或0-1）,表7,APP数量,"1、无公众号
2、企业申请ICP，不一定有官网"
41,41,,,表8,企业官网数量,
42,42,,企业截至当年ICP申请备案情况；,表9,ICP申请时间,"1、ICP申请时间小于等于2022年
2、需要自行计算“截至当年数量”"
43,43,,,,ICP申请数量,
44,44,企业荣誉与信用,企业截止当年获得的荣誉数量（企业荣誉清单）,表10,荣誉获得时间,"1、提供企业每条荣誉信息
2、荣誉，包括A级纳税人
3、荣誉获得时间小于等于2022年"
45,45,,企业当年是否被评为A级纳税人,,荣誉名称,
46,46,,企业近3年是否失信被执行；,表11,失信被执行人列入时间,"1、“失信被执行人列入时间”限定2019-2022年
2、企业存在失信被执行人移出时间，表示企业曾经为失信人，现在已经不属于失信被执行人
3、企业不在该名单中，表示企业近3年没有列为失信被执行人"
47,47,,,,失信被执行人移出时间,
48,48,,企业当年被民事诉讼的数量,表12,裁判文书审判时间,"1、提供企业每条裁判文书信息
2、限定案件类型为民事案件被告
3、裁判文书审判时间限定2019-2022年"
49,49,,,,裁判文书标题,
50,50,,本年是否受到环保处罚（/环境处罚事件数）,表13,行政处罚内容,"1、提供企业每条行政处罚信息
2、环保处罚的处罚部门为环保部门
3、行政处罚时间限定2019-2022年"
51,51,,,,行政处罚时间,
52,52,,,,行政处罚部门,
53,53,对外投资与招投标,截至当年企业投资的行业、次数、金额,表14,投资企业名称,"1、提供企业最新投资的每条记录
2、近一年投资建议使用成立日期，认缴投资日期通常为未来某个日期
3、投资金额等无法追溯到历史某个时点情况"
54,54,,,,认缴投资额,
55,55,,,,认缴投资日期,
56,56,,,,企业所在行业,
57,57,,,,企业成立日期,
58,58,,,,企业注册资本,
59,59,,,,企业注册资本币种,
60,60,,当年企业参与政府招标信息,表15,招标公告标题,"1、提供企业每条投标信息
2、招标时间限定2019-2022年"
61,61,,,,招标时间,
62,62,,,,采购人,
